Change Component DesignItemId : Designator=U10 Old DesignItemId=80 New DesignItemId=80028
Change Component Description : Designator=C45 Old Description=? New Description=ÌùÆ¬µçÈİ
Change Component Description : Designator=EM1 Old Description=Ante New Description=Antenna
Change Component Description : Designator=Y1 Old Description=Crystal Oscilla New Description=Crystal Oscillator
Change Component Description : Designator=P1 Old Description=Header, 3- New Description=Header, 3-Pin
Change Component Description : Designator=P2 Old Description=Header, 4- New Description=Header, 4-Pin
Change Component Description : Designator=L1 Old Description=Induc New Description=Inductor
Change Component Description : Designator=L2 Old Description=Induc New Description=Inductor
Change Component Description : Designator=L3 Old Description=Induc New Description=Inductor
Change Component Description : Designator=L4 Old Description=Induc New Description=Inductor
Change Component Description : Designator=L5 Old Description=Induc New Description=Inductor
Change Component Description : Designator=L6 Old Description=Induc New Description=Inductor
Change Component Description : Designator=U6 Old Description=STM32 ARM-based 32-bit MCU with 32 Kbytes Flash, 48-pin LQFP, Industrial Tempe New Description=STM32 ARM-based 32-bit MCU with 32 Kbytes Flash, 48-pin LQFP, Industrial Temperature
Change Component Description : Designator=U5 Old Description=TP4 New Description=TP4056
Change Component Description : Designator=LED2 Old Description=Typical Chip New Description=Typical Chip LED
Change Component Description : Designator=LED1 Old Description=Typical INFRARED GaAs New Description=Typical INFRARED GaAs LED
Change Component Description : Designator=LED3 Old Description=Typical INFRARED GaAs New Description=Typical INFRARED GaAs LED
